website_analyte,analyte_codes,category,total_count,below_detection_count,above_detection_count,within_detection_count,percent_below_det,percent_above_det,percent_within_det
Ir (ppm),Ir,element,4841,4640,0,201,95.85,0,4.15
Jarosite (wt%),Jarosite,mineralogy_composition,239,0,0,239,0,0,100
K (wt%),"K, K2O",element,97100,3981,499,92620,4.1,0.51,95.39
K-carb (wt%),K-carb,carbonate_proxy,164,0,0,164,0,0,100
K-Feldspar (wt%),K-Feldspar,mineralogy_composition,1256,4,0,1252,0.32,0,99.68
K/Al-mica (wt%),K/Al-mica,mineralogy_composition,117,0,0,117,0,0,100
K/Mg-mica (wt%),K/Mg-mica,mineralogy_composition,615,2,0,613,0.33,0,99.67
Kaolinite (wt%),Kaolinite,mineralogy_composition,1792,0,0,1792,0,0,100
La (ppm),La,element,69180,10548,10,58622,15.25,0.01,84.74
La-carb (ppm),La-carb,carbonate_proxy,941,0,0,941,0,0,100
Li (ppm),Li,element,46538,14237,0,32301,30.59,0,69.41
Li-carb (ppm),Li-carb,carbonate_proxy,299,0,0,299,0,0,100
LOI (wt%),LOI,mineralogy_composition,21013,106,0,20907,0.5,0,99.5
LREE (ppm),LREE,element,4774,0,0,4774,0,0,100
LREE-carb (ppm),LREE-carb,carbonate_proxy,55,0,0,55,0,0,100
Lu (ppm),Lu,element,24938,5683,0,19255,22.79,0,77.21
Lu-carb (ppm),Lu-carb,carbonate_proxy,875,19,0,856,2.17,0,97.83
Magnesite (wt%),Magnesite,mineralogy_composition,30,0,0,30,0,0,100
Magnetite (wt%),Magnetite,mineralogy_composition,374,0,0,374,0,0,100
Marcasite (wt%),Marcasite,mineralogy_composition,31,0,0,31,0,0,100
Mg (wt%),"Mg, MgO",element,96007,968,665,94374,1.01,0.69,98.3
Mg-carb (wt%),Mg-carb,carbonate_proxy,2208,0,0,2208,0,0,100
Mica (wt%),Mica,mineralogy_composition,142,0,0,142,0,0,100
Microcline (wt%),Microcline,mineralogy_composition,85,0,0,85,0,0,100
Mixed_Layer_Clays (wt%),Mixed_Layer_Clays,mineralogy_composition,42,0,0,42,0,0,100
Mn (ppm),"Mn, MnO, MnO2",element,101777,7670,43,94064,7.54,0.04,92.42
Mn-carb (ppm),Mn-carb,carbonate_proxy,2383,0,0,2383,0,0,100
Mo (ppm),Mo,element,80675,20882,5,59788,25.88,0.01,74.11
Mo-carb (ppm),Mo-carb,carbonate_proxy,837,6,0,831,0.72,0,99.28
Montmorillonite (wt%),Montmorillonite,mineralogy_composition,481,0,0,481,0,0,100
MREE (ppm),MREE,element,94,0,0,94,0,0,100
MREE-carb (ppm),MREE-carb,carbonate_proxy,55,0,0,55,0,0,100
Muscovite (wt%),Muscovite,mineralogy_composition,868,0,0,868,0,0,100
N (wt%),N,nitrogen_phosphorous,4101,15,0,4086,0.37,0,99.63
Na (wt%),"Na, Na2O",element,90429,6054,440,83935,6.69,0.49,92.82
Na-carb (wt%),Na-carb,carbonate_proxy,137,0,0,137,0,0,100
Nb (ppm),Nb,element,61210,18577,4,42629,30.35,0.01,69.64
Nb-carb (ppm),Nb-carb,carbonate_proxy,313,0,0,313,0,0,100
Nd (ppm),Nd,element,42531,8198,12,34321,19.28,0.03,80.7
Nd-carb (ppm),Nd-carb,carbonate_proxy,1135,0,0,1135,0,0,100
Nd143/Nd144,Nd143_Nd144,metal_isotope,125,0,0,125,0,0,100
