batch_id,lab_batch_id,institution_name,batch_notes,num_sample,num_results,analytes
611,NULL,NULL,"CMIBS data, results from Cruse_2004",975,876,"Al, Fe, Fe-py, Mn, Mo, Ni, Pb, S_PY, TIC, TOC, U, V, Zn"
612,NULL,NULL,"CMIBS data, results from Cubitt_1979",4250,3375,"Ag, Al, Ba, Be, Bi, Ca, Cd, Co, Cr, Cu, Fe, Ga, Ge, K, LOI, Li, Mg, Mn, Mo, Ni, Pb, Si, Sn, Sr, V, Zn, Zr"
613,NULL,NULL,"CMIBS data, results from Cullers_2000",364,351,"Al, Ba, Ca, Ce, Co, Cr, Cs, Eu, Fe, Hf, K, LOI, La, Lu, Mg, Mn, Na, Rb, Sc, Si, Sm, Sr, Ta, Tb, Th, Ti, Yb"
614,NULL,NULL,"CMIBS data, results from Derkey_1985",2840,1722,"Cd, Co, Cr, Cu, Fe, Mn, Mo, Nb, Ni, Pb, Sr, TOC, V, Zn"
615,NULL,NULL,"CMIBS data, results from Desborough_1979",80,80,"Mo, Se, V, Zn"
616,NULL,NULL,"CMIBS data, results from Desborough_1981",20,20,"Mo, Ni, Se, V, Zn"
617,NULL,NULL,"CMIBS data, results from DosAnjos_2010",387,351,"Al, Al2O3, Ca, CaO, Ce, Cr, Dy, Er, Eu, Fe, Fe2O3, Gd, Ho, K, K2O, LOI, La, Lu, Mg, MgO, Mn, MnO, Na, Na2O, Nb, Nd, P, P2O5, Pr, Si, SiO2, Sm, Tb, Ti, TiO2, Tm, Y, Yb, Zr"
618,NULL,NULL,"CMIBS data, results from Doyon_2004",2958,1795,"Ag, Al, Al2O3, As, Ba, Br, Ca, CaO, Ce, Co, Cr, Cs, Dy, Er, Eu, Fe, Fe2O3, Ga, Gd, Hf, Ho, K, K2O, LOI, La, Lu, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pr, Rb, Sb, Sc, Se, Si, SiO2, Sm, Sr, Ta, Tb, Th, Ti, TiO2, Tm, U, V, Y, Yb, Zr"
619,NULL,NULL,"CMIBS data, results from Erikkson_1994",306,234,"Al, Al2O3, C, CO2, Ca, CaO, Fe, Fe2O3, H2O_m, H2O_p, K, K2O, Mg, MgO, Mn, MnO, Na, Na2O, P, P2O5, S, Si, SiO2, TOC, Ti, TiO2"
620,NULL,NULL,"CMIBS data, results from Eriksson_1992",896,840,"Al, Al2O3, As, Ba, Be, Bi, Ca, CaO, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Fe2O3, Ga, Gd, Hf, Ho, K, K2O, LOI, La, Li, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pr, Rb, S, Sc, Si, SiO2, Sm, Sn, Sr, Tb, Th, Ti, TiO2, U, V, W, Y, Yb, Zn, Zr"
621,NULL,NULL,"CMIBS data, results from Ewers_1984",1955,397,"Al, Al2O3, B, Ba, Be, C, CTO2, Ca, CaO, Ce, Co, Cu, Dy, Er, Eu, F, Fe, Fe2O3, Ga, Gd, H2O_t, K, K2O, LOI, La, Li, Mg, MgO, Mn, MnO, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pr, Rb, Si, SiO2, Sm, Sn, Sr, Th, Ti, TiO2, U, V, W, Y, Yb, Zn, Zr"
622,NULL,NULL,"CMIBS data, results from Fatimah_2009",384,374,"Al, Al2O3, C, Ca, CaO, Fe, Fe2O3, K, K2O, LOI, Mg, MgO, Mn, MnO, Na, Na2O, P, P2O5, SO3, Si, SiO2, TOC, Ti, TiO2"
623,NULL,NULL,"CMIBS data, results from Faure_1996",1180,331,"Al, Al2O3, As, Ba, Bi, Br, Ca, CaO, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Fe2O3, Gd, Ge, K, K2O, La, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pr, Rb, S, Sc, Se, Si, SiO2, Sm, Sr, Tb, Th, Ti, TiO2, U, V, W, Y, Yb, Zn, Zr"
