"batch_id","lab_batch_id","institution_name","batch_notes","num_sample","num_results","analytes"
1949,NULL,NULL,"DM-SED compiled data from Fleurance et al. 2013 (reference_id: 706).","1092","1034","Al, As, Ba, Bi, Ca, Cd, Ce, Co, Cr, Cu, Dy, Er, Eu, Fe, Gd, Ho, K, La, Lu, Mg, Mn, Mo, Na, Nd, Ni, P, Pb, Pr, S, Sb, Si, Sm, Sr, TOC, Tb, Th, Ti, Tm, U, V, Yb, Zn"
1950,NULL,NULL,"DM-SED compiled data from Baioumy & Lehmann, 2017 (reference_id: 698).","322","314","Ag, Al, As, Ba, Be, Bi, Ca, Cd, Ce, Co, Cr, Cu, Fe, Hf, K, La, Li, Mg, Mn, Mo, Na, Nb, Ni, P, Pb, Rb, Re, S, Sb, Sc, Se, Si, Sn, Sr, TOC, Ta, Te, Th, Ti, Tl, U, V, W, Y, Zn, Zr"
1951,NULL,NULL,"DM-SED compiled data from Polufuntikova & Fridovsky, 2016 (reference_id: 742).","756","732","Al, As, B, Ba, Be, Ca, Cd, Ce, Co, Cr, Cu, Dy, Er, Eu, Fe, Gd, Ho, K, La, Li, Lu, Mg, Mn, Mo, Na, Nb, Nd, Ni, P, Pr, S, Sc, Si, Sm, Sr, Th, Ti, V, Y, Yb, Zn, Zr"
1952,NULL,NULL,"DM-SED compiled data from Raza et al. 2012 (reference_id: 734).","296","254","Al, Ba, Ca, Ce, Co, Cr, Dy, Er, Eu, Fe, Gd, Ho, K, La, Lu, Mg, Mn, Na, Nb, Nd, Ni, P, Pr, Rb, Sc, Si, Sm, Sr, Tb, Th, Ti, Tm, U, V, Y, Yb, Zr"
1953,NULL,NULL,"DM-SED compiled data from Bolhar et al. 2015 (reference_id: 693).","328","316","Al, Ba, Ca, Ce, Co, Cr, Cu, Dy, Er, Eu, Fe, Gd, Hf, Ho, K, La, Lu, Mg, Mn, Na, Nb, Nd, Ni, P, Pb, Pr, Rb, Sc, Si, Sm, Sr, Ta, Tb, Th, Ti, Tm, U, V, Y, Yb, Zr"
1954,NULL,NULL,"DM-SED compiled data from Condie et al. 1992 (reference_id: 749).","812","811","Al, Ba, Ca, Ce, Co, Cr, Eu, Fe, Gd, Hf, K, La, Lu, Mg, Na, Ni, P, Rb, Sc, Si, Sm, Sr, Ta, Tb, Th, Ti, Yb, Zr"
1955,NULL,NULL,"DM-SED compiled data from Baioumy et al. 2016 (reference_id: 683).","1242","1242","Al, As, Ba, Ca, Ce, Co, Cr, Cu, Dy, Er, Eu, Fe, Ga, Gd, Hf, Ho, K, La, Lu, Mg, Mn, Mo, Na, Nb, Nd, Ni, P, Pb, Pr, Rb, Si, Sm, Sr, TOC, Ta, Tb, Th, Ti, Tm, U, V, W, Y, Yb, Zn, Zr"
1956,NULL,NULL,"DM-SED compiled data from Schulte et al. 2011 (reference_id: 674).","702","702","Al, As, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Ni, P, Pb, Rb, S, Si, Sr, Th, Ti, U, V, Zn, Zr"
1957,NULL,NULL,"DM-SED compiled data from Yan et al. 2009 (reference_id: 755).","1248","1037","Al, Ca, DELTA_C13_ORG, DELTA_N15, DELTA_S34_CAS, DELTA_S34_PY, Fe, K, Mg, Mn, N, Na, P, Si, TOC, Ti"
1958,NULL,NULL,"DM-SED compiled data from Hatch & Leventhal, 1997 (reference_id: 725).","722","697","Al, Ca, Cd, Cr, Cu, DELTA_C13_ORG, Fe, Mg, Mn, Mo, Ni, P, Pb, S, Se, TOC, U, V, Zn"
