website_analyte,analyte_codes,category,total_count,below_detection_count,above_detection_count,within_detection_count,percent_below_det,percent_above_det,percent_within_det
MREE (ppm),MREE,element,94,0,0,94,0,0,100
MREE-carb (ppm),MREE-carb,carbonate_proxy,55,0,0,55,0,0,100
Muscovite (wt%),Muscovite,mineralogy_composition,36,0,0,36,0,0,100
N (wt%),N,nitrogen_phosphorous,2925,0,0,2925,0,0,100
Na (wt%),"Na, Na2O",element,20610,246,0,20364,1.19,0,98.81
Na-carb (wt%),Na-carb,carbonate_proxy,137,0,0,137,0,0,100
Nb (ppm),Nb,element,17032,168,4,16860,0.99,0.02,98.99
Nb-carb (ppm),Nb-carb,carbonate_proxy,313,0,0,313,0,0,100
Nd (ppm),Nd,element,10241,201,12,10028,1.96,0.12,97.92
Nd-carb (ppm),Nd-carb,carbonate_proxy,1135,0,0,1135,0,0,100
Nd143/Nd144,Nd143_Nd144,metal_isotope,125,0,0,125,0,0,100
Ni (ppm),"Ni, NiO",element,25841,603,0,25238,2.33,0,97.67
Ni-carb (ppm),Ni-carb,carbonate_proxy,438,0,0,438,0,0,100
Orthoclase (wt%),Orthoclase,mineralogy_composition,10,0,0,10,0,0,100
Os (ppt),Os,element,261,0,0,261,0,0,100
Os187/Os188,Os187_Os188,metal_isotope,249,0,0,249,0,0,100
Osi,Os187_Os188(I),metal_isotope,219,0,0,219,0,0,100
P (ppm),"P, P2O5",nitrogen_phosphorous,26097,301,8,25788,1.15,0.03,98.82
P-auth(seq) (ppm),P-auth(seq),nitrogen_phosphorous,693,0,0,693,0,0,100
P-carb (ppm),P-carb,carbonate_proxy,482,0,0,482,0,0,100
P-det(seq) (ppm),P-det(seq),nitrogen_phosphorous,692,0,0,692,0,0,100
P-Fe1(seq) (ppm),P-Fe1(seq),nitrogen_phosphorous,524,0,0,524,0,0,100
P-Fe2(seq) (ppm),P-Fe2(seq),nitrogen_phosphorous,364,0,0,364,0,0,100
P-inorg (ppm),P-inorg,nitrogen_phosphorous,38,0,0,38,0,0,100
P-mag(seq) (ppm),P-mag(seq),nitrogen_phosphorous,362,0,0,362,0,0,100
P-org(seq) (ppm),P-org(seq),nitrogen_phosphorous,669,0,0,669,0,0,100
Pb (ppm),Pb,element,19548,329,7,19212,1.68,0.04,98.28
Pb-carb (ppm),Pb-carb,carbonate_proxy,321,30,0,291,9.35,0,90.65
Pd (ppb),Pd,element,787,450,0,337,57.18,0,42.82
Plagioclase (wt%),Plagioclase,mineralogy_composition,532,0,0,532,0,0,100
Pr (ppm),Pr,element,8818,99,7,8712,1.12,0.08,98.8
Pr-carb (ppm),Pr-carb,carbonate_proxy,941,0,0,941,0,0,100
Pt (ppb),Pt,element,568,461,0,107,81.16,0,18.84
Pyrite (wt%),Pyrite,mineralogy_composition,1397,64,0,1333,4.58,0,95.42
Pyrrhotite (wt%),Pyrrhotite,mineralogy_composition,24,0,0,24,0,0,100
Quartz (w/christobalite) (wt%),Quartz_Christobalite,mineralogy_composition,110,0,0,110,0,0,100
Quartz (wt%),Quartz,mineralogy_composition,1782,19,0,1763,1.07,0,98.93
Rb (ppm),Rb,element,19575,109,9,19457,0.56,0.05,99.4
Rb-carb (ppm),Rb-carb,carbonate_proxy,552,0,0,552,0,0,100
Re (ppm),Re,element,10749,2497,0,8252,23.23,0,76.77
Re-carb (ppm),Re-carb,carbonate_proxy,552,310,0,242,56.16,0,43.84
Re187/Os188,Re187_Os188,metal_isotope,249,0,0,249,0,0,100
REE (ppm),REE,element,150,0,0,150,0,0,100
REE-carb (ppm),REE-carb,carbonate_proxy,69,0,0,69,0,0,100
REY (ppm),REY,element,81,0,0,81,0,0,100
REY-carb (ppm),REY-carb,carbonate_proxy,60,0,0,60,0,0,100
Rutile (wt%),Rutile,mineralogy_composition,2,0,0,2,0,0,100
S (wt%),S,iron_sulfur,19988,1204,8,18776,6.02,0.04,93.94
S-py (wt%),S_PY,iron_sulfur,2594,3,0,2591,0.12,0,99.88
S1 (mgHC/g),S1,carbon,3865,1,0,3864,0.03,0,99.97
S2 (mgHC/g),S2,carbon,3947,21,0,3926,0.53,0,99.47
S3 (mgCO2/g),S3,carbon,3839,1,0,3838,0.03,0,99.97
Sanidine (wt%),Sanidine,mineralogy_composition,2,0,0,2,0,0,100
