"lith_name","lith_texture","lith_comp","color","verbatim_lith"
"argillite",NULL,NULL,NULL,"argillite;RED ARGILLITE;"
"argillite",NULL,NULL,NULL,"argillite;RED ARGILLITE;  massive;"
"argillite",NULL,NULL,NULL,"argillite;RED ARGILLITE; LOWER HALF"
"argillite",NULL,NULL,NULL,"argillite;RED ARGILLITE; UNIT A"
"argillite",NULL,NULL,NULL,"argillite;RED ARGILLITE; UNIT B"
"argillite",NULL,NULL,NULL,"argillite;RED ARGILLITE; UNIT D"
"argillite",NULL,NULL,NULL,"argillite;RED ARGILLITE; UNIT D?"
"argillite",NULL,NULL,NULL,"argillite;RED ARGILLITE; UNIT E"
"argillite",NULL,NULL,NULL,"argillite;RED ARGILLITE; UPPER HALF"
"argillite",NULL,NULL,NULL,"argillite;RED LIMY ARGILLITE;  massive;"
"argillite",NULL,NULL,NULL,"argillite;RED\\GRAY ARGILLITE; UNIT D"
"argillite",NULL,NULL,NULL,"argillite;RED\\GREEN ARGILLITE; UNIT C"
"argillite",NULL,NULL,NULL,"argillite;SILICEOUS ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;SILICEOUS ARGILLITE, HEMATITE"
"argillite",NULL,NULL,NULL,"argillite;SILICEOUS ARGILLITE;  carbonaceous (organic);"
"argillite",NULL,NULL,NULL,"argillite;SPOTTED ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;argillite, Dogfish Bay;"
"argillite",NULL,NULL,NULL,"argillite;argillite.  Drenchwater cr. area;"
"argillite",NULL,NULL,NULL,"argillite;argillite;"
"argillite",NULL,NULL,NULL,"argillite;carbonaceous (organic); laminated;"
"argillite",NULL,NULL,NULL,"argillite;carbonaceous (organic); massive;; med. gray argillite; plants.  E Simpson 2;"
"argillite",NULL,NULL,NULL,"argillite;carbonaceous (organic);; sulfide-bearing argillite;"
"argillite",NULL,NULL,NULL,"argillite;cherty;; cherty argillite;"
"argillite",NULL,NULL,NULL,"argillite;laminated;; argillite (volcaniclastic);"
"argillite",NULL,NULL,NULL,"argillite;laminated;; argillite (volcaniclastic?);"
"argillite",NULL,NULL,NULL,"argillite;laminated;; argillite;"
"argillite",NULL,NULL,NULL,"argillite;laminated;; red argillite;"
"argillite",NULL,NULL,NULL,"argillite;massive;; black argillite; slickensides.  E Simpson 2;"
"argillite",NULL,NULL,NULL,"argillite;massive;; dark gray argillite; slickensides.  E Simpson 2;"
"argillite",NULL,NULL,NULL,"argillite;shear-fault structural setting;; Fe-stnd argillite;"
"argillite",NULL,NULL,NULL,"argillite;siliceous;; siliceous argillite;"
"argillite",NULL,NULL,NULL,"siltite;DK GRAY SHALY SILTITE-ARGILLITE"
"argillite",NULL,NULL,NULL,"siltite;DK TO MED DK GRAY SHALY SILTITE-ARGILLITE"
"argillite",NULL,NULL,NULL,"siltite;MOTTLED LT-TO-DK GRAY SHALY SILTITE-ARGILLITE"
"arkose",NULL,NULL,NULL,"ARKOSE;NULL"
"arkose",NULL,NULL,NULL,"arkose;ALTERED AND MINERALIZED ARKOSE + QTZ VEIN;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ALTERED ARKOSE;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE (CROSS BEDDED FROM UNIT C);  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE AND QUARTZ VEINS;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE PLUS RHYOLITE;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE REPLICATE OF PV1-5(MCS100);  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE WITH QUARTZ VEINS;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, ALTERED;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, BLUE-LT. GREEN GREY"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, BROWNISH TAN (WITH COPPER STAIN?);  ferruginous;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, DARK GRAY;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, DARK GREY"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, GREY BLACK"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, LITTLE ALTERED, SILICIFIED;  arkosic; siliceous;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, LT. BLUE-GREEN GRAY;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, MAROON;  ferruginous;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, PINKISH GREY BLACK;  ferruginous;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, PINKISH GREY;  ferruginous;"
